Fecha Cotización;Apertura;Máximo;Mínimo;Cierre;Cierre ajustado;Volumen Monto;Volumen Nominal
30/8/2024;208,63;214,56;207,03;214,29;214,29;6576345,81;45490831
29/8/2024;209,8;214,89;205,98;206,18;206,18;254838,48;0
28/8/2024;209,72;211,83;202,6;205,65;205,65;3295335,6;0
27/8/2024;213,25;215,62;206,95;209,33;209,33;6369074,58;0
26/8/2024;218,75;219,08;211,03;213,15;213,15;7559577,9;0
23/8/2024;214,46;221,46;214,23;220,28;220,28;6813700,96;1739827
22/8/2024;223,82;224,77;210,56;210,72;210,72;6450139,2;0
21/8/2024;222,67;224,66;218,9;223,16;223,16;3634160,6;0
20/8/2024;224,88;228,21;219,58;221,55;221,55;400119,3;0
19/8/2024;217,07;222,98;214,12;222,79;222,79;1376173,83;0
16/8/2024;211,15;219,78;210,8;216,2;216,2;4175038,2;2800456
15/8/2024;205,02;215,87;204,82;213,95;213,95;624947,95;0
14/8/2024;207,39;208,36;198,77;201,52;201,52;4431827,84;0
13/8/2024;198,47;208,45;197,1;208,03;208,03;10728523,16;0
12/8/2024;199,02;199,16;194,67;197,33;197,33;777480,2;0
9/8/2024;197,05;200,88;195,16;200,05;200,05;1310127,45;1904169
8/8/2024;195,7;200,7;192,09;198,82;198,82;11753045,48;0
7/8/2024;200,77;203,47;191,57;191,64;191,64;5823364,68;0
6/8/2024;200,75;202,9;192,73;200,35;200,35;10152736,25;0
5/8/2024;185,22;203,88;182;199,03;199,03;5064517,38;0
2/8/2024;214,88;216,08;205,78;207,68;207,68;13394113,92;3989512
1/8/2024;227,69;231,83;214,35;216,82;216,82;4879100,46;0
31/7/2024;227,9;234,67;226,97;231,81;231,81;10063799,34;0
30/7/2024;232,25;232,41;220,01;223,08;223,08;6939349,56;0
29/7/2024;224,9;234,25;224,7;232;232;10068104;0
26/7/2024;221,19;222,25;215,34;219,62;219,62;1757838,48;2901133
25/7/2024;216,8;225,98;216,23;220,8;220,8;11734857,6;0
